,DATE,GDP,UNRATE,is_demo,Total_voting_pop_18_24_yo,enrollment
0,2002-01-01,10783.5,5.7,0,27377.0,23793871
1,2004-01-01,11923.447,5.7,0,27808.0,24475143
2,2006-01-01,13599.16,4.7,0,27774.0,25043867
3,2008-01-01,14706.538,5.0,0,28263.0,27253481
4,2010-01-01,14764.611,9.8,1,28924.0,29507367
5,2012-01-01,16068.824,8.3,1,29878.0,28300104
6,2014-01-01,17144.281,6.6,1,29658.0,27410085
7,2016-01-01,18425.306,4.8,1,29320.0,26706865
8,2018-01-01,20155.486,4.0,0,28993.0,26322620
9,2020-01-01,21538.032,3.5,0,28659.0,25349502
